walker H2O CH4 CO2 CO log_delta log_gamma Tint Tequ log_Ptrans alpha log_g R
   2 -1.9810027606 -3.94077801578 -3.45490927335 -1.44267797769 -4.69747781784 0.63538440163 301.268486559 1718.19965588 -4.74085138772 0.556822656223 3.88445285099 1.16919718333
   3 -1.98301671971 -3.92519395024 -3.50798992027 -1.38479884783 -4.77280928552 0.598660108612 308.967708825 1714.38035476 -4.71921573849 0.4490683985 3.7862276796 1.18541998154
   4 -1.90606728185 -3.87738855746 -3.56985686504 -1.36530286548 -4.76307237799 0.619227363846 310.428042169 1722.08737437 -4.77388220471 0.530216384858 3.92220916722 1.15268198663
   5 -1.91429768195 -3.87589621841 -3.35360051812 -1.46319364779 -4.78558322264 0.730082496248 311.641014698 1718.99759521 -4.65296300667 0.858023564582 3.60673783491 0.914078471175
   6 -2.0673126397 -4.06013234351 -3.55675337923 -1.42530088455 -4.67108805269 0.584611815127 306.823849569 1702.00234761 -4.46173949751 0.816723960582 3.82829039764 1.12498548512
   7 -1.8815308011 -3.93663154768 -3.41972105626 -1.37617309755 -4.7658252147 0.588673476048 311.561910079 1720.83854941 -4.69700989587 0.391957363779 3.98377294023 1.13253098937
   8 -1.92757055657 -3.82121491521 -3.54920288286 -1.36030981481 -4.82582982387 0.593174631404 314.87116246 1717.28074319 -4.81745371391 0.278245473303 3.82274146374 1.125619241
   9 -1.97601836344 -3.94935055376 -3.4482437131 -1.33227680743 -4.80706203853 0.566922772729 310.797003194 1721.68116631 -4.84656211483 0.605505903066 3.93007824281 1.2225324885
  10 -1.90442424975 -3.95354388564 -3.46745402206 -1.40960752361 -4.77226052285 0.564722269666 303.897176038 1721.80356358 -4.79739453349 0.624086025319 3.98539189486 1.13406517339
  11 -1.9860629824 -3.94026713434 -3.47644245267 -1.38858072131 -4.77267909212 0.589550174263 309.296842638 1715.73442431 -4.81248765384 0.540599766012 3.94311088698 1.2232394273
  12 -1.98625016534 -3.89277828672 -3.44131051843 -1.39244822327 -4.82437923752 0.59789857553 305.518905611 1719.09682325 -4.81706569973 0.581426218811 3.93499837837 1.2116064677
  13 -1.94848860528 -3.91810596807 -3.46223354946 -1.34276841442 -4.80457044617 0.572964631061 313.797321434 1717.76335543 -4.76643484841 0.461598659399 3.78230593218 1.17086221597
  14 -1.9910397324 -3.90867318256 -3.53597249029 -1.34787296291 -4.84230975641 0.56949608663 312.813242023 1717.16174691 -4.85710219569 0.467900700308 3.95883360581 1.1986811461
